,bl_group,subgroup,package,time_window,loyalty,loyalty_mean,loyalty_std,regularity,regularity_mean,regularity_std,duration,duration_mean,duration_std
62,anxiety,low,mantra,Afternoon (12pm-6pm),28,7,12,22,3,7,11,3,4
63,anxiety,low,mantra,Late Night (12am-6am),6,2,1,5,1,1,2,0,1
64,anxiety,low,mantra,Evening (6pm-12am),31,10,14,19,2,5,15,5,8
65,anxiety,low,mantra,Morning (6am-12pm),3,1,0,3,0,1,2,1,1
66,anxiety,low,messages,Afternoon (12pm-6pm),63,13,19,32,4,7,12,2,2
67,anxiety,low,messages,Late Night (12am-6am),35,9,11,30,4,8,5,1,0
68,anxiety,low,messages,Evening (6pm-12am),55,14,22,24,3,7,4,1,2
69,anxiety,low,messages,Morning (6am-12pm),2,2,0,2,0,1,0,0,0
70,anxiety,low,moveme,Afternoon (12pm-6pm),8,3,2,5,1,1,2,1,1
71,anxiety,low,moveme,Evening (6pm-12am),11,6,5,9,1,2,7,4,4
72,anxiety,low,relax,Afternoon (12pm-6pm),62,16,20,22,3,6,21,5,6
73,anxiety,low,relax,Late Night (12am-6am),14,4,3,7,1,1,10,2,2
74,anxiety,low,relax,Evening (6pm-12am),72,14,21,27,3,5,23,5,6
75,anxiety,low,relax,Morning (6am-12pm),10,3,3,4,0,1,8,3,2
76,anxiety,low,slumbertime,Afternoon (12pm-6pm),66,11,15,36,4,7,14,2,2
77,anxiety,low,slumbertime,Late Night (12am-6am),63,21,35,27,3,9,0,0,0
78,anxiety,low,slumbertime,Evening (6pm-12am),66,16,25,27,3,8,11,3,3
79,anxiety,low,slumbertime,Morning (6am-12pm),47,16,23,18,2,6,2,1,1
80,anxiety,low,socialforce,Morning (6am-12pm),1,1,0,1,0,0,0,0,0
81,anxiety,low,thoughtchallenger,Afternoon (12pm-6pm),15,8,9,13,2,4,6,3,4
82,anxiety,low,thoughtchallenger,Evening (6pm-12am),15,8,6,13,2,4,4,2,0
83,anxiety,low,thoughtchallenger,Morning (6am-12pm),1,1,0,1,0,0,0,0,0
84,anxiety,low,worryknot,Afternoon (12pm-6pm),9,3,1,8,1,1,8,3,2
85,anxiety,low,worryknot,Late Night (12am-6am),8,8,0,3,0,1,4,4,0
86,anxiety,low,worryknot,Evening (6pm-12am),17,4,3,15,2,3,9,2,2
87,anxiety,low,worryknot,Morning (6am-12pm),2,1,0,2,0,0,0,0,0
88,depression,high,aspire,Afternoon (12pm-6pm),2,2,0,2,0,1,0,0,0
89,depression,high,aspire,Late Night (12am-6am),5,5,0,4,1,2,3,3,0
90,depression,high,aspire,Evening (6pm-12am),5,5,0,2,0,1,3,3,0
91,depression,high,aspire,Morning (6am-12pm),3,3,0,2,0,1,1,1,0
92,depression,high,boostme,Afternoon (12pm-6pm),3,3,0,2,0,1,5,5,0
93,depression,high,boostme,Evening (6pm-12am),3,3,0,2,0,1,5,5,0
94,depression,high,dailyfeats,Afternoon (12pm-6pm),11,11,0,6,2,3,4,4,0
95,depression,high,dailyfeats,Late Night (12am-6am),4,2,1,4,1,1,4,2,3
96,depression,high,dailyfeats,Evening (6pm-12am),1,1,0,1,0,0,1,1,0
97,depression,high,dailyfeats,Morning (6am-12pm),4,2,1,3,1,1,3,2,1
98,depression,high,icope,Afternoon (12pm-6pm),1,1,0,1,0,0,0,0,0
99,depression,high,icope,Late Night (12am-6am),4,4,0,2,0,1,3,3,0
100,depression,high,icope,Evening (6pm-12am),7,4,1,4,1,1,6,3,1
101,depression,high,icope,Morning (6am-12pm),4,2,1,2,0,1,7,4,1
102,depression,high,mantra,Afternoon (12pm-6pm),3,3,0,2,0,1,4,4,0
103,depression,high,mantra,Late Night (12am-6am),5,2,2,3,1,1,4,2,1
104,depression,high,mantra,Evening (6pm-12am),11,4,3,6,2,1,5,2,2
105,depression,high,mantra,Morning (6am-12pm),2,1,0,2,0,1,3,2,2
106,depression,high,messages,Afternoon (12pm-6pm),20,10,13,10,2,4,1,0,1
107,depression,high,messages,Late Night (12am-6am),25,12,12,16,4,6,6,3,0
108,depression,high,messages,Evening (6pm-12am),26,13,14,17,4,7,1,0,1
109,depression,high,messages,Morning (6am-12pm),1,1,0,1,0,0,1,1,0
110,depression,high,moveme,Late Night (12am-6am),1,1,0,1,0,0,0,0,0
111,depression,high,moveme,Evening (6pm-12am),2,2,0,2,0,1,1,1,0
112,depression,high,moveme,Morning (6am-12pm),2,2,0,1,0,0,4,4,0
113,depression,high,relax,Afternoon (12pm-6pm),6,6,0,1,0,0,2,2,0
114,depression,high,relax,Late Night (12am-6am),12,6,3,7,2,2,4,2,1
115,depression,high,relax,Evening (6pm-12am),39,20,15,11,3,4,18,9,8
116,depression,high,relax,Morning (6am-12pm),8,8,0,2,0,1,2,2,0
117,depression,high,slumbertime,Afternoon (12pm-6pm),8,8,0,4,1,2,5,5,0
118,depression,high,slumbertime,Late Night (12am-6am),3,2,1,2,0,1,1,0,1
119,depression,high,slumbertime,Evening (6pm-12am),1,1,0,1,0,0,2,2,0
120,depression,high,slumbertime,Morning (6am-12pm),2,2,0,2,0,1,0,0,0
121,depression,high,thoughtchallenger,Afternoon (12pm-6pm),2,2,0,1,0,0,2,2,0
122,depression,high,thoughtchallenger,Late Night (12am-6am),11,6,4,4,1,1,8,4,1
123,depression,high,thoughtchallenger,Evening (6pm-12am),22,11,8,8,2,3,15,8,6
124,depression,high,thoughtchallenger,Morning (6am-12pm),6,3,1,3,1,1,3,2,1
125,depression,high,worryknot,Afternoon (12pm-6pm),1,1,0,1,0,0,1,1,0
126,depression,high,worryknot,Late Night (12am-6am),7,7,0,2,0,1,4,4,0
127,depression,high,worryknot,Evening (6pm-12am),11,6,6,4,1,1,8,4,6
128,depression,high,worryknot,Morning (6am-12pm),8,4,4,3,1,1,2,1,1
129,depression,low,aspire,Afternoon (12pm-6pm),22,7,8,17,2,4,11,4,4
130,depression,low,aspire,Late Night (12am-6am),11,4,3,8,1,2,16,5,5
131,depression,low,aspire,Evening (6pm-12am),26,9,11,18,2,4,11,4,4
132,depression,low,aspire,Morning (6am-12pm),3,2,1,2,0,0,4,2,3
133,depression,low,boostme,Afternoon (12pm-6pm),28,9,3,23,2,4,32,11,9
134,depression,low,boostme,Late Night (12am-6am),29,10,12,16,2,4,30,10,12
135,depression,low,boostme,Evening (6pm-12am),42,14,9,33,3,6,46,15,14
136,depression,low,boostme,Morning (6am-12pm),6,3,3,3,0,1,7,4,5
137,depression,low,dailyfeats,Afternoon (12pm-6pm),72,18,24,47,5,9,46,12,22
138,depression,low,dailyfeats,Late Night (12am-6am),40,8,10,28,3,5,24,5,7
139,depression,low,dailyfeats,Evening (6pm-12am),59,12,13,39,4,7,25,5,6
140,depression,low,dailyfeats,Morning (6am-12pm),40,20,20,33,3,9,11,6,2
141,depression,low,icope,Afternoon (12pm-6pm),9,2,1,9,1,1,4,1,1
142,depression,low,icope,Late Night (12am-6am),5,2,1,4,0,1,2,1,1
143,depression,low,icope,Evening (6pm-12am),16,4,5,16,2,3,7,2,2
144,depression,low,icope,Morning (6am-12pm),3,2,1,2,0,0,2,1,1
145,depression,low,mantra,Afternoon (12pm-6pm),33,7,10,26,3,6,12,2,3
146,depression,low,mantra,Late Night (12am-6am),10,2,1,8,1,1,4,1,1
147,depression,low,mantra,Evening (6pm-12am),36,7,11,24,2,5,16,3,6
148,depression,low,mantra,Morning (6am-12pm),3,1,0,3,0,0,2,1,1
149,depression,low,messages,Afternoon (12pm-6pm),90,13,16,47,5,6,18,3,2
150,depression,low,messages,Late Night (12am-6am),65,11,11,49,5,8,17,3,3
151,depression,low,messages,Evening (6pm-12am),88,15,17,45,4,7,8,1,2
152,depression,low,messages,Morning (6am-12pm),3,2,1,3,0,1,0,0,0
153,depression,low,moveme,Afternoon (12pm-6pm),8,3,2,5,0,1,2,1,1
154,depression,low,moveme,Late Night (12am-6am),7,7,0,3,0,1,3,3,0
155,depression,low,moveme,Evening (6pm-12am),14,5,4,10,1,2,8,3,3
156,depression,low,relax,Afternoon (12pm-6pm),71,12,17,28,3,5,25,4,5
157,depression,low,relax,Late Night (12am-6am),33,6,5,18,2,2,17,3,2
158,depression,low,relax,Evening (6pm-12am),85,12,18,35,4,5,30,4,5
159,depression,low,relax,Morning (6am-12pm),13,3,3,7,1,1,8,2,2
160,depression,low,slumbertime,Afternoon (12pm-6pm),68,10,14,37,4,7,14,2,2
161,depression,low,slumbertime,Late Night (12am-6am),65,16,30,28,3,8,1,0,0
162,depression,low,slumbertime,Evening (6pm-12am),69,14,23,29,3,7,11,2,3
163,depression,low,slumbertime,Morning (6am-12pm),47,16,23,18,2,5,2,1,1
164,depression,low,socialforce,Afternoon (12pm-6pm),5,5,0,3,0,1,0,0,0
165,depression,low,socialforce,Late Night (12am-6am),6,3,3,5,0,1,2,1,0
166,depression,low,socialforce,Evening (6pm-12am),6,6,0,5,0,2,2,2,0
167,depression,low,socialforce,Morning (6am-12pm),1,1,0,1,0,0,0,0,0
168,depression,low,thoughtchallenger,Afternoon (12pm-6pm),23,8,7,20,2,4,10,3,3
