,pid,dayofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
179,1027,19.0,1,1,51,51.0,0.0,51,51,-1.0,-1.0
180,1027,28.0,1,1,1,1.0,0.0,1,1,-1.0,-1.0
181,1027,37.0,1,1,4,4.0,0.0,4,4,-1.0,-1.0
182,1029,4.0,21,3,714,34.0,28.0,0,92,2331.0,5731.0
183,1029,2.0,20,4,740,37.0,44.0,0,143,2624.0,5652.0
184,1029,3.0,17,3,412,24.0,26.0,0,82,2235.0,6539.0
185,1029,8.0,9,1,322,36.0,51.0,0,163,1072.0,1499.0
186,1029,6.0,7,2,139,20.0,24.0,0,68,5310.0,12713.0
187,1029,10.0,7,1,261,37.0,38.0,3,101,1040.0,2110.0
188,1029,1.0,6,3,247,41.0,30.0,0,68,6528.0,9092.0
189,1029,5.0,6,2,119,20.0,23.0,0,55,1116.0,2064.0
190,1029,9.0,6,2,320,53.0,72.0,2,188,9252.0,14624.0
191,1029,7.0,5,1,215,43.0,66.0,0,159,150.0,104.0
192,1029,-3.0,3,2,122,41.0,43.0,0,86,16680.0,18668.0
193,1029,-1.0,3,1,71,24.0,21.0,0,39,8880.0,12389.0
194,1029,0.0,3,2,30,10.0,17.0,0,30,20100.0,18243.0
195,1029,-2.0,2,1,18,9.0,13.0,0,18,2220.0,-1.0
196,1029,11.0,1,1,45,45.0,0.0,45,45,-1.0,-1.0
197,1035,30.0,11,3,112,10.0,17.0,0,47,7620.0,14535.0
198,1035,37.0,9,1,493,55.0,48.0,0,161,930.0,1955.0
199,1035,45.0,8,3,10,1.0,2.0,0,6,10071.0,12373.0
200,1035,28.0,7,2,148,21.0,25.0,0,58,13350.0,20244.0
201,1035,9.0,6,2,169,28.0,29.0,0,79,4416.0,9606.0
202,1035,19.0,6,2,52,9.0,11.0,0,28,14124.0,17892.0
203,1035,44.0,6,3,0,0.0,0.0,0,0,15000.0,17139.0
204,1035,46.0,6,3,0,0.0,0.0,0,0,15720.0,14987.0
205,1035,-1.0,5,2,208,42.0,25.0,0,65,4380.0,8162.0
206,1035,7.0,5,1,205,41.0,26.0,0,67,555.0,553.0
207,1035,17.0,5,2,101,20.0,22.0,0,51,12900.0,17379.0
208,1035,2.0,4,3,100,25.0,25.0,0,47,15220.0,13006.0
209,1035,20.0,4,2,46,12.0,17.0,0,36,26280.0,45155.0
210,1035,0.0,3,2,55,18.0,16.0,3,35,9930.0,13704.0
211,1035,22.0,3,2,7,2.0,4.0,0,7,28980.0,40899.0
212,1035,47.0,3,2,0,0.0,0.0,0,0,10050.0,1739.0
213,1035,8.0,2,1,18,9.0,13.0,0,18,120.0,-1.0
214,1035,24.0,2,2,119,60.0,84.0,0,119,33660.0,-1.0
215,1035,29.0,2,1,74,37.0,28.0,17,57,120.0,-1.0
216,1035,31.0,2,2,0,0.0,0.0,0,0,71820.0,-1.0
217,1035,32.0,2,2,0,0.0,0.0,0,0,70020.0,-1.0
218,1035,33.0,2,2,20,10.0,14.0,0,20,7260.0,-1.0
219,1035,34.0,2,2,166,83.0,117.0,0,166,22200.0,-1.0
220,1035,43.0,2,1,19,10.0,13.0,0,19,12600.0,-1.0
221,1035,3.0,1,1,24,24.0,0.0,24,24,-1.0,-1.0
222,1035,5.0,1,1,8,8.0,0.0,8,8,-1.0,-1.0
223,1035,6.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
224,1035,18.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
225,1035,21.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
226,1035,26.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
227,1035,40.0,1,1,7,7.0,0.0,7,7,-1.0,-1.0
228,1036,26.0,8,2,241,30.0,27.0,0,73,557.0,1106.0
229,1036,21.0,6,1,258,43.0,25.0,11,71,144.0,33.0
230,1036,20.0,4,2,28,7.0,13.0,0,27,18460.0,31455.0
231,1036,19.0,3,1,209,70.0,22.0,44,83,390.0,127.0
232,1036,23.0,3,1,162,54.0,28.0,24,80,240.0,85.0
233,1036,24.0,1,1,137,137.0,0.0,137,137,-1.0,-1.0
234,1036,27.0,1,1,46,46.0,0.0,46,46,-1.0,-1.0
235,1036,28.0,1,1,42,42.0,0.0,42,42,-1.0,-1.0
236,1036,29.0,1,1,13,13.0,0.0,13,13,-1.0,-1.0
237,1036,32.0,1,1,148,148.0,0.0,148,148,-1.0,-1.0
238,1036,33.0,1,1,24,24.0,0.0,24,24,-1.0,-1.0
239,1036,34.0,1,1,7,7.0,0.0,7,7,-1.0,-1.0
240,1036,39.0,1,1,35,35.0,0.0,35,35,-1.0,-1.0
241,1036,48.0,1,1,12,12.0,0.0,12,12,-1.0,-1.0
242,1040,11.0,11,3,481,44.0,39.0,4,143,4902.0,9439.0
243,1040,10.0,8,2,164,20.0,29.0,0,74,3506.0,4229.0
244,1040,16.0,5,1,54,11.0,14.0,0,32,120.0,49.0
245,1040,9.0,3,1,175,58.0,83.0,7,154,1230.0,1570.0
246,1040,17.0,3,1,220,73.0,42.0,40,121,540.0,679.0
247,1040,26.0,3,1,120,40.0,30.0,5,58,2820.0,2546.0
248,1040,31.0,3,2,115,38.0,35.0,16,79,9870.0,13534.0
249,1040,33.0,3,1,106,35.0,61.0,0,106,90.0,42.0
250,1040,13.0,2,1,32,16.0,11.0,8,24,-1.0,-1.0
251,1040,25.0,1,1,152,152.0,0.0,152,152,-1.0,-1.0
252,1040,34.0,1,1,64,64.0,0.0,64,64,-1.0,-1.0
253,1045,5.0,17,4,320,19.0,28.0,0,94,4729.0,7010.0
254,1045,4.0,5,3,151,30.0,57.0,0,132,15555.0,17236.0
255,1045,6.0,2,1,25,12.0,18.0,0,25,-1.0,-1.0
256,1051,5.0,6,1,140,23.0,8.0,15,37,120.0,95.0
257,1051,0.0,5,2,241,48.0,50.0,0,117,4875.0,5456.0
258,1051,11.0,5,2,131,26.0,17.0,0,45,5190.0,7958.0
259,1051,17.0,5,2,127,25.0,26.0,0,62,7260.0,14081.0
260,1051,6.0,4,1,35,9.0,16.0,0,33,1760.0,2789.0
261,1051,7.0,4,2,82,20.0,27.0,0,58,8620.0,14826.0
262,1051,14.0,4,2,101,25.0,10.0,13,36,6980.0,11727.0
263,1051,16.0,3,1,58,19.0,19.0,0,37,7590.0,10649.0
264,1051,4.0,2,1,14,7.0,4.0,4,10,60.0,-1.0
265,1051,9.0,2,1,47,24.0,33.0,0,47,120.0,-1.0
266,1051,10.0,2,2,33,16.0,11.0,9,24,20640.0,-1.0
267,1051,8.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
268,1051,13.0,1,1,42,42.0,0.0,42,42,-1.0,-1.0
269,1051,15.0,1,1,5,5.0,0.0,5,5,-1.0,-1.0
