,pid,package,weekofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
183,1027,worryknot,2,1,1,15,15.0,0.0,15,15,-1.0,-1.0
184,1027,worryknot,6,1,1,4,4.0,0.0,4,4,-1.0,-1.0
185,1029,dailyfeats,0,11,5,241,22.0,27.0,0,86,29940.0,29831.0
186,1029,dailyfeats,1,5,2,139,28.0,36.0,0,72,24480.0,35408.0
187,1029,icope,1,8,1,424,53.0,54.0,3,143,4457.0,8915.0
188,1029,mantra,2,4,2,376,94.0,75.0,5,188,39400.0,34312.0
189,1029,moveme,2,2,2,49,24.0,29.0,4,45,75420.0,-1.0
190,1029,relax,1,41,5,1065,26.0,27.0,0,96,10540.0,23423.0
191,1029,relax,2,11,3,274,25.0,21.0,0,68,17268.0,29511.0
192,1029,thoughtchallenger,1,9,2,309,34.0,29.0,2,74,10875.0,20695.0
193,1029,worryknot,1,19,4,649,34.0,41.0,0,159,23233.0,45083.0
194,1029,worryknot,2,6,2,249,42.0,63.0,0,163,9936.0,17584.0
195,1035,aspire,5,1,1,6,6.0,0.0,6,6,-1.0,-1.0
196,1035,boostme,6,3,1,216,72.0,82.0,0,161,240.0,85.0
197,1035,dailyfeats,3,6,5,79,13.0,22.0,0,51,69132.0,23404.0
198,1035,dailyfeats,4,5,5,0,0.0,0.0,0,0,129150.0,81012.0
199,1035,dailyfeats,5,4,4,0,0.0,0.0,0,0,82640.0,5878.0
200,1035,dailyfeats,7,4,4,0,0.0,0.0,0,0,82500.0,6511.0
201,1035,dailyfeats,6,3,2,80,27.0,40.0,0,73,129240.0,182434.0
202,1035,icope,0,2,1,99,50.0,12.0,41,58,540.0,-1.0
203,1035,icope,1,2,2,59,30.0,8.0,24,35,276000.0,-1.0
204,1035,icope,4,2,1,7,4.0,5.0,0,7,60.0,-1.0
205,1035,icope,5,1,1,0,0.0,0.0,0,0,-1.0,-1.0
206,1035,icope,6,1,1,38,38.0,0.0,38,38,-1.0,-1.0
207,1035,mantra,5,3,3,53,18.0,18.0,0,36,60450.0,57573.0
208,1035,mantra,6,1,1,69,69.0,0.0,69,69,-1.0,-1.0
209,1035,messages,7,19,5,19,1.0,4.0,0,19,16833.0,11270.0
210,1035,messages,5,6,6,166,28.0,68.0,0,166,75972.0,30123.0
211,1035,moveme,4,5,1,148,30.0,24.0,1,58,345.0,198.0
212,1035,moveme,5,4,2,90,22.0,19.0,0,47,88580.0,151919.0
213,1035,moveme,7,1,1,4,4.0,0.0,4,4,-1.0,-1.0
214,1035,relax,1,9,4,278,31.0,27.0,0,67,53138.0,87925.0
215,1035,relax,3,7,1,70,10.0,13.0,0,36,9680.0,14224.0
216,1035,relax,0,6,2,164,27.0,25.0,0,65,11892.0,17448.0
217,1035,relax,2,3,1,35,12.0,19.0,0,34,120.0,-1.0
218,1035,relax,4,1,1,119,119.0,0.0,119,119,-1.0,-1.0
219,1035,relax,5,1,1,57,57.0,0.0,57,57,-1.0,-1.0
220,1035,relax,7,1,1,6,6.0,0.0,6,6,-1.0,-1.0
221,1035,slumbertime,3,4,1,50,12.0,16.0,0,34,12420.0,21252.0
222,1035,slumbertime,2,2,1,18,9.0,13.0,0,18,120.0,-1.0
223,1035,slumbertime,5,1,1,0,0.0,0.0,0,0,-1.0,-1.0
224,1035,socialforce,6,1,1,59,59.0,0.0,59,59,-1.0,-1.0
225,1035,thoughtchallenger,6,1,1,38,38.0,0.0,38,38,-1.0,-1.0
226,1035,worryknot,2,3,1,134,45.0,31.0,18,79,120.0,85.0
227,1035,worryknot,1,1,1,0,0.0,0.0,0,0,-1.0,-1.0
228,1036,icope,4,2,2,161,80.0,80.0,24,137,148800.0,-1.0
229,1036,icope,5,1,1,13,13.0,0.0,13,13,-1.0,-1.0
230,1036,slumbertime,3,13,2,495,38.0,31.0,0,83,8720.0,17373.0
231,1036,slumbertime,4,2,1,138,69.0,16.0,58,80,300.0,-1.0
232,1036,worryknot,4,10,4,329,33.0,24.0,0,73,22027.0,43180.0
233,1036,worryknot,5,3,2,179,60.0,77.0,7,148,83490.0,79125.0
234,1036,worryknot,6,1,1,35,35.0,0.0,35,35,-1.0,-1.0
235,1036,worryknot,7,1,1,12,12.0,0.0,12,12,-1.0,-1.0
236,1040,mantra,2,14,4,518,37.0,50.0,0,154,25302.0,41214.0
237,1040,thoughtchallenger,2,10,3,334,33.0,30.0,0,79,28533.0,58310.0
238,1040,thoughtchallenger,3,8,2,274,34.0,41.0,0,121,13543.0,35145.0
239,1040,thoughtchallenger,5,7,3,285,41.0,42.0,0,106,56220.0,80899.0
240,1040,thoughtchallenger,4,4,2,272,68.0,61.0,5,152,32820.0,51993.0
241,1045,mantra,1,6,2,125,21.0,20.0,0,56,31284.0,30733.0
242,1045,messages,1,13,2,261,20.0,42.0,0,132,9650.0,10593.0
243,1045,slumbertime,1,5,1,110,22.0,29.0,0,67,240.0,202.0
244,1051,aspire,0,3,1,121,40.0,66.0,0,117,390.0,127.0
245,1051,moveme,3,5,2,51,10.0,14.0,0,29,18120.0,36040.0
246,1051,relax,1,8,3,111,14.0,13.0,0,33,38674.0,59648.0
247,1051,relax,2,5,3,70,14.0,10.0,0,24,86430.0,119521.0
248,1051,relax,0,1,1,43,43.0,0.0,43,43,-1.0,-1.0
249,1051,slumbertime,1,7,3,136,19.0,22.0,0,58,40820.0,66233.0
250,1051,slumbertime,2,7,6,190,27.0,19.0,0,47,86590.0,53157.0
251,1051,slumbertime,3,3,3,77,26.0,18.0,5,37,86670.0,382.0
252,1051,slumbertime,0,1,1,77,77.0,0.0,77,77,-1.0,-1.0
253,1051,thoughtchallenger,2,3,2,97,32.0,12.0,22,45,129810.0,182985.0
254,1051,thoughtchallenger,1,1,1,24,24.0,0.0,24,24,-1.0,-1.0
255,1051,worryknot,3,1,1,62,62.0,0.0,62,62,-1.0,-1.0
